['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.808']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.846']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.808']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0025', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0015', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.001', 'Score Train Data: 0.750', 'Score Test Data: 0.769']
[]
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 1.000']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 0.643', 'Score Test Data: 0.700']
